ts,task,config,model,rep,passed,fate,tokens,reads,digests,compressions,wall_s,log,check_tail
1788200066,kernel-quiz,full,deepseek,1,1,done,22942,17,3,8,37.7,traj.jsonl,
1788200103,kernel-quiz,full,deepseek,2,1,done,52823,38,20,14,92.9,traj.jsonl,
1788200196,kernel-quiz,full,deepseek,3,1,done,212567,29,11,21,159.7,traj.jsonl,
1788200356,kernel-quiz,nodigest,deepseek,1,1,done,416077,83,0,23,167.1,traj.jsonl,
1788200523,kernel-quiz,nodigest,deepseek,2,1,done,257463,74,0,20,126.8,traj.jsonl,
1788200650,kernel-quiz,nodigest,deepseek,3,1,done,525156,53,0,29,198.6,traj.jsonl,
